1/15/2025 17:09,10.5608,8.14,0.004
1/15/2025 17:10,10.5569,7.977,0.004
1/15/2025 17:11,10.5569,7.803,0.004
1/15/2025 17:12,10.5569,7.633,0.004
1/15/2025 17:13,10.5627,7.5,0.004
1/15/2025 17:14,10.5569,7.373,0.004
1/15/2025 17:15,10.5531,7.313,0.004
1/15/2025 17:16,10.5569,7.21,0.004
1/15/2025 17:17,10.9575,7.047,25.872
1/15/2025 17:18,10.9537,6.993,25.596
1/15/2025 17:19,10.9345,6.96,25.448
1/15/2025 17:20,10.9537,6.953,25.396
1/15/2025 17:21,10.9403,6.97,25.328
1/15/2025 17:22,10.9268,6.943,25.272
1/15/2025 17:23,10.9537,6.97,25.292
1/15/2025 17:24,10.9479,6.993,25.3
1/15/2025 17:25,10.9537,7,25.292
1/15/2025 17:26,10.5493,6.97,0.1
1/15/2025 17:27,10.5627,6.873,0
1/15/2025 17:28,10.5493,6.78,0
1/15/2025 17:29,10.5531,6.687,0
1/15/2025 17:30,10.5531,6.563,0
1/15/2025 17:31,10.5435,6.53,0
1/15/2025 17:32,10.5531,6.47,0
1/15/2025 17:33,10.5531,6.36,0
1/15/2025 17:34,10.5569,6.28,0
1/15/2025 17:35,10.5531,6.203,0
1/15/2025 17:36,10.5493,6.11,0
1/15/2025 17:37,10.8943,6.523,28.128
1/15/2025 17:38,10.9038,6.93,28.128
1/15/2025 17:39,10.9038,6.943,28.076
1/15/2025 17:40,10.8943,6.92,28.008
1/15/2025 17:41,10.9134,6.897,27.992
1/15/2025 17:42,11.0035,6.883,28.024
1/15/2025 17:43,11.0169,6.937,28.032
1/15/2025 17:44,10.9211,6.977,27.984
1/15/2025 17:45,14.2063,7.46,30.244
1/15/2025 17:46,16.2724,7.837,30.528
1/15/2025 17:47,16.2533,7.93,30.532
1/15/2025 17:48,16.2724,7.97,30.532
1/15/2025 17:49,16.2935,7.983,30.54
1/15/2025 17:50,16.2935,7.983,30.552
1/15/2025 17:51,16.2897,7.977,30.56
1/15/2025 17:52,16.3127,7.983,30.56
1/15/2025 17:53,14.2005,7.943,30.36
1/15/2025 17:54,10.5531,7.54,0.696
1/15/2025 17:55,10.5531,7.21,0.936
1/15/2025 17:56,10.5531,6.97,0.84
1/15/2025 17:57,10.5493,6.743,0.252
1/15/2025 17:58,10.5531,6.657,0
1/15/2025 17:59,10.5531,6.687,0
1/15/2025 18:00,10.5531,6.633,0
1/15/2025 18:01,10.5569,6.563,0
1/15/2025 18:02,10.5531,6.413,0
1/15/2025 18:03,10.5531,6.343,0
1/15/2025 18:04,10.5397,7.093,0
1/15/2025 18:05,10.5493,7.883,0
1/15/2025 18:06,10.5569,8.117,0
1/15/2025 18:07,10.5569,8.093,0
1/15/2025 18:08,10.5569,8.023,0
1/15/2025 18:09,10.5493,7.96,0
1/15/2025 18:10,10.5531,7.907,0
1/15/2025 18:11,10.5608,7.827,0
1/15/2025 18:12,10.5569,7.75,0
1/15/2025 18:13,10.5493,7.693,0
1/15/2025 18:14,10.5531,7.647,0
1/15/2025 18:15,10.5531,7.617,0
1/15/2025 18:16,10.5531,7.593,0
1/15/2025 18:17,10.5531,7.553,0
1/15/2025 18:18,10.5531,7.54,0
1/15/2025 18:19,10.5569,7.507,0
1/15/2025 18:20,10.5531,7.493,0
1/15/2025 18:21,10.5531,7.46,0
1/15/2025 18:22,10.5531,7.437,0
1/15/2025 18:23,10.5531,7.407,0
1/15/2025 18:24,10.5531,7.39,0
1/15/2025 18:25,10.5569,7.373,0
1/15/2025 18:26,10.5569,7.367,0
1/15/2025 18:27,10.5703,7.36,0
1/15/2025 18:28,10.5531,7.343,0
1/15/2025 18:29,10.5569,7.337,0
1/15/2025 18:30,10.5531,7.313,0
1/15/2025 18:31,10.5531,7.297,0
1/15/2025 18:32,10.5493,7.25,0
1/15/2025 18:33,10.5531,7.187,0
1/15/2025 18:34,10.5435,7.123,0
1/15/2025 18:35,10.5358,7.053,0
1/15/2025 18:36,10.5128,6.97,0
1/15/2025 18:37,10.5224,6.883,0
1/15/2025 18:38,10.5301,6.803,0
1/15/2025 18:39,10.5435,6.727,0
1/15/2025 18:40,10.5397,6.657,0
1/15/2025 18:41,10.5397,6.6,0
1/15/2025 18:42,10.5397,6.57,0
1/15/2025 18:43,10.5263,7.267,0
1/15/2025 18:44,10.5301,8.07,0
1/15/2025 18:45,10.5435,8.757,0
1/15/2025 18:46,10.5397,9.383,0
1/15/2025 18:47,10.5531,13.493,0
1/15/2025 18:48,10.5397,14.663,0
1/15/2025 18:49,10.5531,15.04,0
1/15/2025 18:50,10.5473,15.313,0
1/15/2025 18:51,10.5473,15.53,0
1/15/2025 18:52,10.5435,15.767,0
1/15/2025 18:53,10.5473,15.96,0
1/15/2025 18:54,10.5397,16.147,0
1/15/2025 18:55,10.5397,16.337,0
1/15/2025 18:56,10.5339,16.57,0
END OF DATA FILE OF DATALOGGER FOR WINDOWS,,,
